vendorID;title;description;country;descr_type
1;Distra;;Китай;html
2;"Doc Johnson";"<p>На сегодняшний день Doc Johnson &ndash; это крупнейший производитель товаров для взрослых. Компания, основные производственные мощности которой находятся в Северном Голливуде (USA), выпускает всевозможные секс-игрушки для мужчин, женщин и семейных пар. Дилдо, страпоны, мастурбаторы, эрекционные кольца, кляпы, помпы &ndash; что бы вас ни интересовало, вы обязательно найдёте это среди ассортимента Doc Johnson.</p>  <p>Использование современных материалов, контроль качества, постоянное усовершенствование дизайна &ndash; всё это сделало компанию лидером продаж как в США, так и в России. Особенно любимыми у поклонников марки &laquo;Док Джонсон&raquo; стали трусики с насадкой Harness и вибратор iVibe Rabbit.</p>";США;html
4;"Fun Factory";"<p>Открыть закон всемирного тяготения Ньютону «помогло» упавшее на голову яблоко. Основание компании Fun Factory – следствие обычных кухонных посиделок двух приятелей – Михаэля Паля и Дирка Бауэра. Дружеская беседа о том, о сём, плавное смещение разговора в сторону ассортимента местных секс-шопов, и вот она, идея: почему бы самим не разработать стимуляторы, которые было бы не стыдно покупать?! К тому же, без всяких опасений касательно собственного здоровья из-за их использования.</p>  <p>Так в 1996 году появилась первая секс-игрушка от Fun Factory: нежно-голубой фаллоимитатор среднего размера в форме дельфина. Нестандартный дизайн, нереалистичные формы и мультифункциональность использования (для вагинальной стимуляции или анальных проникновений) сделали Dolphin хитом продаж. </p>  <p>Друзья решили не останавливаться на достигнутом и закрепить успех новыми моделями, коих на сегодняшний день насчитывается более 100. Стоит отметить, что и по прошествии всех лет Dolphin ещё продаётся, только в формате мощного водонепроницаемого вибратора с мягким плавничком для клиторального массажа.</p>  <p>Как и в 1996-м, Михаэль и Дирк придерживаются нескольких принципов при производстве своих игрушек:<br> <li>отдают предпочтение нереалистичным формам, превращая стимуляторы в настоящие произведения искусства;<br> <li>используют исключительно безопасные для здоровья человека материалы: гладкий анодированный пластик без запаха и медицинский силикон – бархатистый на ощупь и не вызывающий аллергических реакций;<br> <li>изготавливают весь ассортимент исключительно в Германии;<br> <li>уделяют особое внимание качеству и дизайну упаковки;<br> <li>предпочитают ручной труд автоматическим процессам: большая часть моделей отливается из силикона вручную, а после застывания извлекается из форм, проверяется на дефекты, обрабатывается на предмет неровных стыков.</p>  <p>Над разработкой, производством и распространением секс-игрушек Fun Factory трудятся чуть больше 120 человек, многие из которых работают в компании с самого основания. Штаб-квартира и производственные цеха «Весёлой фабрики» находятся в немецком Бремене у реки Везер и в общем занимают около 13.000 кв.м. Также в одном из зданий сотрудники основали своеобразный музей Fun Factory: на стендах и внутри стеклянных витрин представлены все когда-либо сошедшие с конвейера завода модели игрушек.</p>  <p>Поклонники бренда ценят стимуляторы Fun Factory за неизменно высокое немецкое качество. Несмотря на открытие в 2003 году представительства Fun Factory в США, все модели производятся только в Бремене. Ежедневно фабрика выпускает от 3.000 до 6.000 единиц – с обязательной надписью «Made in Germany» на упаковке.</p>  <p>Конечно же, продукция Fun Factory не смогла остаться незамеченной устроителями престижных наград:<br> <li>в 2008 году компания - первая в мире среди производителей 18+ - заслужила Reddot Design Award за дизайн вибратора Delight;<br> <li>в 2010 получила iF Product Design Award за целых три продукта: вагинальные шарики Smartballs, вибраторы Delight и Flash;<br> <li>отмечена наградой American Good Design Award-2010 за высокотехнологичный мастурбатор Cobra Libre.</p>  <p>Сегодня ассортимент Fun Factory представлен множеством наименований, среди которых товары для Неё, для Него и для пар. Помимо вибромассажёров, хай-тек пульсаторов, страпонов, фаллоимитаторов, анальных втулок и вагинальных шариков «Весёлая фабрика» выпускает интимные смазки, средства для ухода за игрушками, женские менструальные чаши, а также сумочки для хранения из гигиеничного материала тайвека.</p>";Германия;html
6;Gopaldas;"<p>Хочется приобрести качественную, безопасную для здоровья, но недорогую секс-игрушку? Решение есть, и имя ему Gopaldas (China).</p>  <p>Эта компания предлагает покупателям из России разнообразные товары для взрослых, отличающиеся высоким качеством и стильным дизайном, а именно вибромассажёры, клиторальные стимуляторы, мастурбаторы, эрекционные кольца, анальные втулки и многое другое.</p>  <p>Кроме того, «Гопалдас», основные мощности которого находятся в Китае, является производителем эротического белья из латекса. Некоторые модели представляют собой симбиоз белья и интимной игрушки, например, трусики-страпон для мужчин и трусики-страпон для женщин.</p>  <p>Они способны украсить собой и ваше тело, и сексуальную жизнь!</p>";Китай;html
7;Hustler;;Китай;html
8;Inverma;;Германия;html
10;"Milan Arzneimittel GmbH";;Германия;html
11;Penthouse;;США;html
12;Pipedream;"<p>Компания Pipedream (USA) – один из ведущих игроков рынка товаров для взрослых как в США, так и в мире.</p> <p>Этот американский производитель, известный широким ассортиментом и высоким качеством выпускаемых товаров, разработал немало успешных секс-игрушек. Многие из них, такие как безремневой страпони надувная кушетка с фаллосом, стали настоящими бестселлерами в России.</p> <p>Сегодня «Пайпдрим» - это первоклассные товары для женщин, мужчин и пар: вибраторы, мастурбаторы, дилдо, секс-куклы, БДСМ-аксессуары и многое другое.</p> <p>Среди стимуляторов по приемлемой цене каждый покупатель сможет найти для себя что-нибудь особенное. Такое, что сделает его сексуальную жизнь интереснее и ярче.</p>";США;html
14;"Swedish Erotica";;США;html
15;SoftLine;"<p> 	Бельё и игровые костюмы торговой марки Softline Collection впервые появились в продаже в 2002 году.</p> <p> 	Компании Soft Land (Poland) – крупнейшему европейскому производителю эротического белья – понадобилось всего несколько лет для того, чтобы сделать «Софтлайн Коллекшн» одной из наиболее востребованных марок на рынке Польши, стран ЕС и России.</p> <p> 	Европейское качество изделий, уникальный дизайн, широкий ассортимент (более 1000 моделей), красивая упаковка – всё это обеспечило белью Softline Collection любовь тысяч женщин.</p> <p> 	Приобретая игровой костюм доктора или кружевной комплект Softline, можно быть уверенной – он обязательно сделает вас ультра сексуальной!</p>";Польша;html
16;T.L.C.;;США;html
17;"Topco Sales";"<p>Компания Topco Sales была основана в 1972 американцем Мартином Такером. Сделав ставку на высокое качество продукции, её безопасность для здоровья человека и инновации, он добился того, что о товарах Topco Sales узнал весь мир. </p> <p>Именно Topco Sales первой выпустила такие продукты, как секс-качели, перезаряжаемые вибраторы на интегральных микросхемах и ароматизированные лубриканты. И именно эта компания совершила революцию в мире секс-игрушек, разработав ультра реалистичный материал CyberSkin. </p> <p>Topco Sales производит товары интимного назначения – более 30 собственных брендов, а также сотрудничает с такими легендами, как Hustler, Playboy и Penthouse. Все секс-игрушки отливаются и собираются на оборудовании с FDA-сертификатами. </p>";США;html
18;"Wet International Inc.";"<p>На протяжении более 25 лет компания Wet International Inc. разрабатывает и производит высококачественные, уникальные по своему составу продукты из лучших ингредиентов: массажные масла, персональные лубриканты (на водной, силиконовой и гибридной основах), стимулирующие гели, интимные смазки с охлаждающим и разогревающим эффектами, съедобные лубриканты.</p> <p>Производственные мощности компании находятся в Валенсии (штат Калифорния, США) и занимают почти 5000 кв.м. На этой площади расположены административные помещения, лаборатории, склады, маркетинговый центр. Вся продукция отвечает высочайшим стандартам качества и безопасности, выпускается на оборудовании, имеющем FDA-сертификаты.</p>";США;html
19;"Wild Fire";;США;html
20;"Wow creation";;Япония;html
23;Биоритм;"Научно-производственная компания  Лаборатория «Биоритм»  - пожалуй, единственная российская компания, специализирующаяся на разработке и производстве средств для гармонизации интимных отношений. В ее ассортименте лубриканты, крема, массажные масла, духи с феромонам и другие средства интимной косметики и гигиены.";Россия;html
24;"Ручная работа";;Россия;html
25;СМП;;Россия;html
26;Фанты;;Россия;html
27;Saxenfelt;;Дания;html
29;"California Exotic Novelties";"<p>В 1994 году на рынке товаров для взрослых в США появился новый игрок - California Exotic Novelties. Компанию возглавила Сьюзан Колвин &ndash; американка, планирующая разработать целый ряд секс-игрушек для женщин. Её планам суждено было сбыться: сегодня бренд &laquo;Калифорния Экзотик Новелтис&raquo; известен миллионам женщин в USA и за их пределами.</p>  <p>Мало того, ассортимент, изначально ориентированный исключительно на покупательниц, пополнился товарами для мужчин и семейных пар. Благодаря использованию инновационных технологий и применению безопасных материалов, производитель смог получить как американские, так и европейские сертификаты стандартов качества.</p>";США;html
30;"Shots Media BV";;Нидерланды;html
31;"Сумерки богов";"<p>Продукция компании «МиФ» впервые появилась в продаже в 2008 году. Благодаря низкой цене и яркой упаковке фаллоимитаторы и вибраторы от российского производителя сразу же вызвали интерес у покупателей. А чуть после получили заслуженное признание - из-за высокого качества материалов. </p> <p>Производственная база компании «МиФ» находится в Зеленограде. Именно там с помощью технологий, разработанных в Научно-исследовательском институте резины и латекса, выпускаются фаллоимитаторы, вибраторы, анальные стимуляторы, фаллопротезы, мастурбаторы - всего более 200 наименований! </p> <p>Изначально все секс-игрушки от ООО «МиФ» изготавливались из ПВХ – под торговой маркой «Сумерки Богов». Чуть позже, в 2010 году компания стала выпускать изделия из полимерных материалов под торговой маркой «Джага-Джага». Сегодня компания «МиФ» - крупнейший российский производитель интимных игрушек, высокое качество которых подтверждено Сертификатом Соответствия. </p>";Россия;html
32;Lelo;"<p>Интимные массажёры торговой марки LELO впервые были представлены шведской компанией LELOi AB в 2003 году. Став воплощением продвинутого дизайна и высокой функциональности, стимуляторы LELO быстро завоевали популярность у женщин, мужчин и пар. Со временем линейка интимных товаров пополнилась аксессуарами для спальни – массажными маслами и свечами, шёлковыми наручниками, масками и любовными лентами. </p> <p>На сегодняшний день под торговой маркой LELO выпускается более 100 массажёров (в том числе для тела) и аксессуаров класса люкс, каждый из которых привлекает эстетикой,  функциональностью и высоким качеством. Стоит отметить, что хиты продаж, такие как Tiani, Liv, Elise и др., постоянно совершенствуются – поклонники марки уже смогли насладиться вторыми, а то и третьими версиями этих бестселлеров. </p>";Швеция;html
33;ToyFa;"<p>Под маркой ToyFa собраны лучшие товары для взрослых от нескольких производителей Китая. Секс-игрушки, выпускаемые на этих фабриках, завоевали широкую популярность у потребителей России благодаря двум преимуществам &ndash; широкому, постоянно обновляющемуся ассортименту и вкусной цене.</p>  <p>Компания &laquo;ТойФа&raquo; доказала на деле, что надпись &laquo;Made in China&raquo; на упаковке не является синонимом низкого качества.</p>  <p>Среди вибраторов, мастурбаторов, секс-кукол, анальных пробок, клиторальных бабочек и других игрушек от ToyFa вы, будучи взыскательным покупателем, с лёгкостью выберете для себя что-нибудь особенное.</p>";Китай;html
34;Erolanta;"<p>Для многих женщин не существует проблемы выбора эротического белья, потому что они уже знакомы с Erolanta (China).</p>  <p>Это производитель из Китая, появившийся на рынке России в 2007 году и ставший популярным в рекордно короткие сроки. Коллекция сексуальных нарядов была подобрана так, что смогла удовлетворить запросы тысяч покупательниц.</p>  <p>Под маркой «Эроланта» сегодня выпускаются сетевые комбинезоны, кружевные бюстье, облегающие корсеты, фантазийные чулки и колготы, комплекты, перчатки, трусики всевозможных форм, а также красивая обувь для стриптиза и не только.</p>  <p>Особую любовь у клиенток нашего интернет-магазина получили игровые костюмы – горничной от Эроланта и медсестры сексуальной помощи.</p>";Китай;html
35;Kameli;;Таиланд;html
37;"Fuju Latex, Co., LTD";;Япония;html
39;Baile;"<p>Компания Baile Health Care Product Co.Ltd. была основана в далёком 1993 году. Однако даже нескольких лет существования хватило, чтобы Baile стал самым узнаваемым китайским брендом товаров для взрослых. На сегодняшний день компания производит более 3000 секс-игрушек и аксессуаров и поставляет их по всему миру. </p> <p>Благодаря работе талантливых дизайнеров, профессиональных разработчиков и исследователей  компания Baile Health Care Product Co.Ltd. непрестанно совершенствует свою продукцию – в плане как дизайна, так и функциональности. Высокое качество всех товаров подтверждено многочисленными сертификатами соответствия. </p> <p>Для производства секс-игрушек Baile используются такие материалы, как TPE, TPR, силикон. Большинство механизмов отличаются многофункциональностью, а также несколькими уровнями вибрации или ротации. У вибромассажёров  имеются удобные и надёжные пульты управления – встроенные, выносные и беспроводные. </p>";Китай;html
40;"Love Collection";;Россия;html
41;"Парфюм престиж М";;Россия;html
44;Contex;;Франция;html
45;DressToUndress;;Россия;html
46;Роспарфюм;;Россия;html
47;ForPlay;;США;html
48;"Toy Joy";"<p>Toy Joy – одно из подразделений крупного европейского дистрибьютора товаров для взрослых Scala Playhouse. Слоган компании – Toy for fun (в пер. с английского, «игрушки для развлечения») – как нельзя лучше отражает дизайн и предназначение секс-игрушек Toy Joy. Все они яркие, современные, из инновационных материалов, удобные в использовании: с Toy Joy интимная близость никогда не будет скучной! </p> <p>Несмотря на молодой возраст, бренд Toy Joy представлен более чем 600 моделями интимных аксессуаров и в рамках более чем десятка коллекций. Если вы подыскиваете для себя что-нибудь особенное, эта секс-вещица наверняка отыщется среди товарного ассортимента Toy Joy. </p>";Нидерланды;html
49;"Dream Toys";;Китай;html
51;Tonga;;Нидерланды;html
52;Scala;;Нидерланды;html
53;Evolved;;США;html
54;SplitDildo;;Россия;html
56;Fleshlight;;США;html
57;"Anal Jewelry Plug";;Китай;html
58;Durex;"<p> 	Товары торговой марки Durex, зарегистрированной в Великобритании в 1929 году, стали популярны в России более 20 лет назад.</p> <p> 	Иначе и быть не могло, ведь &laquo;Дюрекс&raquo; &ndash; всемирно известный производитель качественных барьерных контрацептивов из латекса и полиуретана, а также сопутствующих товаров для защищённого секса (смазок, возбуждающих гелей, очищающих салфеток).</p> <p> 	Все презервативы этой марки, родом из UK, проходят три вида тестирования: электроникой, на протечки, на разрыв воздухом. Многоэтапная проверка гарантирует потребителям надёжную защиту от ЗППП и нежелательной беременности.</p>";Великобритания;html
59;Sportsheets;;США;html
60;Подиум;;Россия;html
61;"FUN / ULTRA ZONE";"<p> 	FunZone и UltraZone – две торговые марки компании Ideal International Group (China). Товары для взрослых «ФанЗон», а это массажёры для груди, мастурбаторы Vulcan, вибраторы, вагинальные шарики и эрекционные колечки, призваны привнести задор в сексуальную жизнь своих владельцев.</p> <p> 	Что же касается «УльтраЗон», это выбор утончённых людей, довлеющих к элегантным формам и нежным прикосновениям.</p> <p> 	Специально для ценителей чувственных ласк, в том числе из России, этот производитель из Китая разработал самонагревающиеся вибромассажёры, виброяйца на радиоуправлении, а также вагинальные стимуляторы из нежнейшего материала Refined Touch.</p>";Китай;html
62;We-vibe;"<p>Первый массажёр We-vibe от канадской компании Standard Innovation Corporation был представлен на выставке Adult Novelty Expo в 2008 году. Его появлению предшествовали целых 5 лет кропотливой работы и одна уникальная идея – создать секс-игрушку, способную одновременно ласкать обоих партнёров. </p> <p>За первой версией We-vibe последовала вторая, а потом и третья с четвёртой! Сегодня под брендом We-vibe продаётся более десятка различных по форме вибромассажёров, призванных улучшить качество интимной жизни и подарить фантастические ощущения от близости. </p> <p>Каждый We-vibe – это высококачественный, компактный, выполненный из экологически чистых материалов массажёр, обеспечивающий непревзойдённую стимуляцию эрогенных зон. Именно поэтому число поклонников бренда растёт, а продукция Standard Innovation Corporation успешно продаётся в более чем 50 странах мира. </p>";Канада;html
63;Waterglide;;Германия;html
64;Gox;;Китай;html
65;"Natural massage oil";;Германия;html
66;"Sextoy 2011";;Китай;html
67;PicoBong;;Швеция;html
68;"Doctor Love (Futuring)";;Германия;html
69;Ledapol;;Польша;html
70;Toy4Fun;;Китай;html
71;"Holiday Exclusive";;США;html
72;FlirtOn;"<p>Первыми товарами, выпущенными под маркой FlirtON в 2009 году, были игрушки для взрослых из… плюша. Пышный бюст, попка в трусиках, пенис размером с руку, брелоки в виде возбуждённых во всех местах зайчиками, тапочки с титечками – эти и другие игрушки для взрослых быстро завоевали популярность у российских покупателей, ведь до этого момента подобную сувенирную продукцию не выпускал никто. </p>  <p>Что тут началось! Федеральные и местные челябинские СМИ заинтересовались «неприличными» игрушками, представители Государственной Думы и вовсе хотели запретить продажу «Весёлого Йуха» и ему подобных подушек. Но фабрике «Ростекс» эта шумиха была только на руку. Воспользовавшись моментом, компания выпустила линейку костюмов для ролевых игр, а еще чуть позже – первые модели эротического белья для женщин.</p>  <p>Сегодня бренд FlirtON представлен более чем 150 наименованиями, среди которых вы найдёте плюшевые сувениры, высококачественное эротическое бельё из ткани и кружев польского, турецкого и латвийского производства, а также игровые костюмы для претворения в жизнь самых смелых сексуальных фантазий! FlirtON – включите воображение!</p>";Россия;html
73;"Shirley of Hollywood";"<p>Shirley of Hollywood – компания из США, выпускающая эротическое бельё вот уже более полувека.</p>  <p>Этот производитель сделал ставку на высокое качество, вот почему сетевые комбинезоны, бюстье, комплекты, пеньюары, сорочки и платья «Ширли оф Голливуд» пользуются неизменным спросом у женщин.</p>  <p>Широчайшая линейка белья «Ширли» ежегодно обновляется, однако лишь некоторые модели исчезают из продажи. В этом и есть уникальность Shirley – бельё этой марки всегда актуально и в моде!</p>  <p>В отличие от конкурентов компания Shirley of Hollywood (USA) разрабатывает и выпускает модели больших размеров – от XL до 6X. Во многом из-за этого число поклонников марки, в том числе из России, не становится меньше.</p>  <p>В сорочках и корсетах, женщины-пышечки становятся в разы сексуальнее и красивее.</p>";США;html
74;Pjur;"<p>Специалисты немецкой компании Pjur считают, что их работа заключается в приумножении любви. Дело в том, что продукция Pjur – разнообразные лубриканты, и правда, делающие занятия любовью сверх чувственными. Среди широкого ассортимента каждый найдёт то, что сделает его интимную жизнь более комфортной и яркой – и скромник, и вечный экспериментатор.</p> <p>Все ингредиенты для лубрикантов Pjur проходят тщательный отбор, а готовая продукция – всевозможные проверки: дерматологические и цитотоксические тесты, испытания с презервативами и пр. Именно поэтому интимные средства Pjur получили от независимой немецкой комиссии Stiftung Warentest, контролирующей качество продуктов, оценки «Лучший на практике» и «Отлично». </p> <p>В состав лубрикантов, пролонгаторов и стимулирующих средств не входят вазелиновые смеси, растительные масла, парфюмерные отдушки, генномодифицированные вещества, парабены. Они безопасны для здоровья и при использовании с презервативами, что подтверждают СЕ-сертификаты и результаты исследований независимых лабораторий. </p>";Германия;html
75;Sexus;;Китай;html
76;"MyWorld - DIVA";;Китай;html
78;Dibe;;Китай;html
79;Leco;;Китай;html
80;"Icon Brands";;США;html
81;Джага-Джага;;Россия;html
82;"Swiss navy";"<p>Научная лаборатория M.D.Science Lab была основана Ральфом Альбрехтом в американском городке Форт-Лодердейл штата Флорида в начале 1999 года. Изначально компания занималась исключительно производством БАДов, но со временем расширила ассортимент лубрикантами. Для новинок был зарегистрирован новый бренд - Swiss Navy («швейцарский флот» в переводе с английского языка). </p> <p>Запоминающееся название-оксюморон, высокое качество ингредиентов, безопасность для здоровья и удобная упаковка – эти четыре слагаемых в сумме обеспечили продукции Swiss Navy необычайный успех у потребителей. Сегодня товары этой марки успешно продаются в аптечных сетях и секс-шопах в 48 странах мира. </p>";США;html
83;GTC;;Корея;html
84;OhMiBod;;США;html
85;"Bristols SIX";;США;html
86;HOT;;Австрия;html
87;Shiatsu;;Австрия;html
88;Luxxa;;Франция;html
89;"Candy Girl";"<p>Продукция Candy Girl впервые появилась в продаже в конце 2012 года. Благодаря яркости, смелому дизайну и доступной цене эротическое бельё этой марки мгновенно стало популярным в России. На сегодняшний день ассортимент Candy Girl насчитывает более 55 фантастических моделей, и их число постоянно растёт. </p> <p>Условно всю линейку можно разделить на три коллекции: эффектные клубные платья, игровые костюмы для ролевых игр и наряды из сетки. Платья, многие из которых выполнены из блестящей ткани или имеют пикантные вырезы/разрезы, сделают свою хозяйку как минимум звездой вечеринки, как максимум – украшением спальни. </p> <p>Благодаря игровым костюмам – кошечки, медсестры, заключённой, полисвумен, стюардессы и пр. – всегда можно примерить новый и очень сексуальный образ. Боди, платья и комбинезоны из сетки, подчёркивая пленительные изгибы фигурки, легко превратят любую в секс-бомбу или жрицу ночи. </p>";Китай;html
90;OVO;;Германия;html
91;Odeco;;Китай;html
92;"Pink Lipstick";"<p>В начале 2013 года американская компания International Intimates Inc., довольно известная на мировом рынке, познакомила всех с новой торговой маркой - Pink Lipstick. Ориентированная на молодых женщин, она была представлена клубными платьями и эффектными комплектами для вечеринок, неоновыми леггинсами и колготками. Чуть позже ассортимент пополнился чулками, платьями и комбинезонами из сетки, а также элегантными, но от этого не менее сексуальными, облегающими платьями.</p>  <p>Основные цвета белья и одежды Pink Lipstick – игривый розовый и строгий чёрный. Большинство моделей не имеет швов, благодаря чему топы, мини-юбочки и платья особенно приятны в носке. Использование блестящих тканей (в том числе материалов с эффектом wet-look) и декорирование пайетками и бантами делают каждую вещь от Pink Lipstick особенной, а её владелицу – самой яркой звёздочкой вечеринки! </p>";США;html
104;Masculan;;Германия;html
105;"Издательский Дом ЭКСМО";"Российское издательство, одно из крупнейших в Европе. Оно выпускает более 8 тыс. наименований книг в год общим тиражом порядка 80 млн. экземпляров.";Россия;html
106;Jopen;;США;html
107;"Jes Extender";;Дания;html
108;"Male Edge";;Дания;html
109;"Pandora Novelties";;Китай;html
110;DIOGOL;;Франция;html
